congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
108,2,216 (89-2),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00216,Agreed to,"On the Conference Report: S. 2845 Conference Report; A bill to reform the intelligence community and the intelligence and intelligence-related activities of the United States Government, and for other purposes.",[],S. 2845,http://hdl.loc.gov/loc.uscongress/legislation.108s2845,Dec 08
108,2,215 (65-30),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00215,Agreed to,"On the Conference Report: H. R. 4818 Conference Report; A bill making appropriations for foreign operations, export financing, and related programs for the fiscal year ending September 30, 2005, and for other purposes.",[],H.R. 4818,http://hdl.loc.gov/loc.uscongress/legislation.108hr4818,Nov 20
108,2,214 (88-5),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00214,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Conference Report to Accompany H.R. 1047; A bill to amend the Harmonized Tariff Schedule of the United States to modify temporarily certain rates of duty, to make other technical amendments to the trade laws, and for other purposes.",[],H.R. 1047,http://hdl.loc.gov/loc.uscongress/legislation.108hr1047,Nov 19
108,2,213 (52-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00213,Passed,On Passage of the Bill: S. 2986; A bill to amend title 31 of the United States Code to increase the public debt limit.,[],S. 2986,http://hdl.loc.gov/loc.uscongress/legislation.108s2986,Nov 17
108,2,212 (85-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00212,Confirmed,"On the Nomination: Confirmation Francis J. Harvey, Of California, To Be Secretary Of The Army",[],PN1970,https://www.congress.gov/nomination/108th-congress/1970,Nov 16
108,2,211 (69-17),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00211,Agreed to,"On the Conference Report: H.R. 4520 Conference Report; A bill to amend the Internal Revenue Code of 1986 to remove impediments in such Code and make our manufacturing, service, and high-technology businesses and workers more competitive and productive both at home and abroad.",[],H.R. 4520,http://hdl.loc.gov/loc.uscongress/legislation.108hr4520,Oct 11
108,2,210 (66-14),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00210,Agreed to,"On the Cloture Motion: Motion To Invoke Cloture On The Conference Report To Accompany H. R. 4520; A bill to amend the Internal Revenue Code of 1986 to remove impediments in such Code and make our manufacturing, service, and high-technology businesses and workers more competitive and productive both at home and abroad.",[],H.R. 4520,http://hdl.loc.gov/loc.uscongress/legislation.108hr4520,Oct 10
108,2,209 (71-14),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00209,Agreed to,On the Resolution: S. Res. 454; A resolution expressing the sense of the Senate that the 108th Congress should provide the necessary funds to make disaster assistance available for all customarily eligible agricultural producers as emergency spending and not funded by cuts to the farm bill.,[],S.Res. 454,http://hdl.loc.gov/loc.uscongress/legislation.108sres454,Oct 09
108,2,208 (79-6),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00208,Agreed to,On the Resolution: S. Res. 445 As Amended.; A resolution to eliminate certain restrictions on service of a Senator on the Senate Select Committee on Intelligence.,[],S.Res. 445,http://hdl.loc.gov/loc.uscongress/legislation.108sres445,Oct 09
108,2,207 (44-41),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=2&vote=00207,Agreed to,On the Amendment S.Amdt. 4015: Hutchison Amdt. No. 4015 As Amended; To implement responsible subcommittee reorganization in the Committee on Appropriations.,"[[""S.Amdt. 4015"", ""http://hdl.loc.gov/loc.uscongress/legislation.108samdt4015""]]",S.Res. 445,http://hdl.loc.gov/loc.uscongress/legislation.108sres445,Oct 09
