congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
104,2,306 (92-2),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00306,Agreed to,"On the Conference Report: H.R.3539, CONFERENCE REPORT; A bill to amend title 49, United States Code, to reauthorize programs of the Federal Aviation Administration, and for other purposes.",[],H.R. 3539,http://hdl.loc.gov/loc.uscongress/legislation.104hr3539,Oct 03
104,2,305 (39-56),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00305,Not Sustained,"On the Decision of the Chair: shall the decision of the chair stand? Re: conf. rept. to H.R. 3539; A bill to amend title 49, United States Code, to reauthorize programs of the Federal Aviation Administration, and for other purposes.",[],H.R. 3539,http://hdl.loc.gov/loc.uscongress/legislation.104hr3539,Oct 03
104,2,304 (66-31),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00304,Agreed to,"On the Cloture Motion: motion to invoke cloture on conference report on H.R.3539; A bill to amend title 49, United States Code, to reauthorize programs of the Federal Aviation Administration, and for other purposes.",[],H.R. 3539,http://hdl.loc.gov/loc.uscongress/legislation.104hr3539,Oct 03
104,2,303 (97-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00303,Agreed to,"On the Motion to Table: motion to table the motion to postpone the motion to proceed; A bill to amend title 49, United States Code, to reauthorize programs of the Federal Aviation Administration, and for other purposes.",[],H.R. 3539,http://hdl.loc.gov/loc.uscongress/legislation.104hr3539,Sep 30
104,2,302 (84-15),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00302,Passed,"On Passage of the Bill: passage of H.R. 4278; A bill making omnibus consolidated appropriations for the fiscal year ending September 30, 1997, and for other purposes.",[],H.R. 4278,http://hdl.loc.gov/loc.uscongress/legislation.104hr4278,Sep 30
104,2,301 (58-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00301,Veto Sustained,"On Overriding the Veto: shall h.r.1833 pass over the veto of the President of the U.S.?; A bill to amend title 18, United States Code, to ban partial-birth abortions.",[],H.R. 1833,http://hdl.loc.gov/loc.uscongress/legislation.104hr1833,Sep 26
104,2,300 (88-10),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00300,Passed,"On Passage of the Bill: h.r.1350; A bill to amend the Merchant Marine Act, 1936 to revitalize the United States-flag merchant marine, and for other purposes.",[],H.R. 1350,http://hdl.loc.gov/loc.uscongress/legislation.104hr1350,Sep 24
104,2,299 (50-48),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00299,Agreed to,On the Motion to Table S.Amdt. 5394: motion to table grassley amendment no. 5394; To prohibit the use of funds received as a payment or subsidy for lobbying or public education and to prohibit the use of certain funds received as a payment or subsidy for making political contributions for the purpose of influencing an election.,"[[""S.Amdt. 5394"", ""http://hdl.loc.gov/loc.uscongress/legislation.104samdt5394""]]",H.R. 1350,http://hdl.loc.gov/loc.uscongress/legislation.104hr1350,Sep 24
104,2,298 (65-33),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00298,Agreed to,On the Motion to Table S.Amdt. 5393: motion to table grassley amendment no. 5393; To clarify the term fair and reasonable compensation and for other purposes.,"[[""S.Amdt. 5393"", ""http://hdl.loc.gov/loc.uscongress/legislation.104samdt5393""]]",H.R. 1350,http://hdl.loc.gov/loc.uscongress/legislation.104hr1350,Sep 24
104,2,297 (89-9),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=104&session=2&vote=00297,Agreed to,On the Motion to Table S.Amdt. 5396: motion to table harkin amendment no. 5396; To provide for payment by the Secretary of Transportation of certain ocean freight charges for Federal food or export assistance.,"[[""S.Amdt. 5396"", ""http://hdl.loc.gov/loc.uscongress/legislation.104samdt5396""]]",H.R. 1350,http://hdl.loc.gov/loc.uscongress/legislation.104hr1350,Sep 24
