congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
107,2,253 (92-2),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00253,Passed,"On the Joint Resolution: H.J.Res. 124; A joint resolution making further continuing appropriations for the fiscal year 2003, and for other purposes.",[],H.J.Res. 124,http://hdl.loc.gov/loc.uscongress/legislation.107hjres124,Nov 19
107,2,252 (86-11),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00252,Agreed to,On the Conference Report: H.R. 3210 Conference Report ; A bill to ensure the continued financial capacity of insurers to provide coverage for risks from terrorism.,[],H.R. 3210,http://hdl.loc.gov/loc.uscongress/legislation.107hr3210,Nov 19
107,2,251 (85-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00251,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Conference Report to Accompany H.R. 3210; A bill to ensure the continued financial capacity of insurers to provide coverage for risks from terrorism.,[],H.R. 3210,http://hdl.loc.gov/loc.uscongress/legislation.107hr3210,Nov 19
107,2,250 (55-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00250,Confirmed,"On the Nomination: Confirmation Dennis W. Shedd, of South Carolina, to be U.S. Circuit Judge",[],PN888,https://www.congress.gov/nomination/107th-congress/888,Nov 19
107,2,249 (90-9),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00249,Passed,"On Passage of the Bill: H.R. 5005, as amended; A bill to establish the Department of Homeland Security, and for other purposes.",[],H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 19
107,2,248 (83-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00248,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on H.R. 5005, as amended; A bill to establish the Department of Homeland Security, and for other purposes.",[],H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 19
107,2,247 (73-26),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00247,Agreed to,"On the Amendment S.Amdt. 4901: Thompson For Gramm Amdt. No. 4901; To establish the Department of Homeland Security, and for other purposes.","[[""S.Amdt. 4901"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt4901""]]",H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 19
107,2,246 (69-30),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00246,Agreed to,"On the Motion S.Amdt. 4901: Motion to Waive CBA Re:  Thompson Amdt. No. 4901; To establish the Department of Homeland Security, and for other purposes.","[[""S.Amdt. 4901"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt4901""]]",H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 19
107,2,245 (47-52),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00245,Rejected,On the Amendment S.Amdt. 4953: Lieberman Amdt. No. 4953; Of a perfecting nature.,"[[""S.Amdt. 4953"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt4953""]]",H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 19
107,2,244 (65-29),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00244,Agreed to,"On the Cloture Motion S.Amdt. 4901: Motion to Invoke Cloture on the Gramm Amdt. No. 4901; To establish the Department of Homeland Security, and for other purposes.","[[""S.Amdt. 4901"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt4901""]]",H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 15
