congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
109,1,366 (93-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00366,Agreed to,"On the Conference Report: H.R. 2863 Conference Report; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2006, and for other purposes.",[],H.R. 2863,http://hdl.loc.gov/loc.uscongress/legislation.109hr2863,Dec 21
109,1,365 (48-45),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00365,Agreed to,On the Concurrent Resolution: S. Con. Res. 74; A concurrent resolution correcting the enrollment of H.R. 2863.,[],S.Con.Res. 74,http://hdl.loc.gov/loc.uscongress/legislation.109sconres74,Dec 21
109,1,364 (56-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00364,Rejected,"On the Cloture Motion: Motion to Invoke Cloture on the Conference Report to Accompany H.R. 2863; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2006, and for other purposes.",[],H.R. 2863,http://hdl.loc.gov/loc.uscongress/legislation.109hr2863,Dec 21
109,1,363 (50-50),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00363,Agreed to,"On the Motion: Motion to Concur in House Amdt. To S. 1932, With an Amdt.; An original bill to provide for reconciliation pursuant to section 202(a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95).",[],S. 1932,http://hdl.loc.gov/loc.uscongress/legislation.109s1932,Dec 21
109,1,362 (52-48),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00362,Rejected,On the Motion: Motion to Waive CBA (Sects. 313(b)(1)(A) and 313(b)(1)(D)) Re: Conference Report to Accompany S. 1932; An original bill to provide for reconciliation pursuant to section 202(a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95).,[],S. 1932,http://hdl.loc.gov/loc.uscongress/legislation.109s1932,Dec 21
109,1,361 (86-9),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00361,Agreed to,On the Motion to Proceed: Motion to Proceed to Conference Report to Accompany S. 1932; An original bill to provide for reconciliation pursuant to section 202(a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95).,[],S. 1932,http://hdl.loc.gov/loc.uscongress/legislation.109s1932,Dec 19
109,1,360 (95-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00360,Agreed to,"On the Motion to Proceed: Motion to Proceed to Conference Report to Accompany H.R. 1815; To authorize appropriations for fiscal year 2006 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year.",[],H.R. 1815,http://hdl.loc.gov/loc.uscongress/legislation.109hr1815,Dec 19
109,1,359 (94-1),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00359,Agreed to,"On the Motion to Proceed: Motion to Proceed to the Conference Report to Accompany H.R. 2863; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2006, and for other purposes.",[],H.R. 2863,http://hdl.loc.gov/loc.uscongress/legislation.109hr2863,Dec 19
109,1,358 (52-47),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00358,Rejected,"On the Cloture Motion: Motion to Invoke Cloture on the Conference to Accompany H.R. 3199; A bill to extend and modify authorities needed to combat terrorism, and for other purposes.",[],H.R. 3199,http://hdl.loc.gov/loc.uscongress/legislation.109hr3199,Dec 16
109,1,357 (63-28),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=109&session=1&vote=00357,Agreed to,On the Motion: Reed Motion to Instruct Conferees on S. 1932; An original bill to provide for reconciliation pursuant to section 202(a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95).,[],S. 1932,http://hdl.loc.gov/loc.uscongress/legislation.109s1932,Dec 15
