congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
107,2,252 (86-11),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00252,Agreed to,On the Conference Report: H.R. 3210 Conference Report ; A bill to ensure the continued financial capacity of insurers to provide coverage for risks from terrorism.,"",,H.R. 3210,http://hdl.loc.gov/loc.uscongress/legislation.107hr3210,Nov 19
107,2,251 (85-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00251,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Conference Report to Accompany H.R. 3210; A bill to ensure the continued financial capacity of insurers to provide coverage for risks from terrorism.,"",,H.R. 3210,http://hdl.loc.gov/loc.uscongress/legislation.107hr3210,Nov 19
107,2,248 (83-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00248,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on H.R. 5005, as amended; A bill to establish the Department of Homeland Security, and for other purposes.","",,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 19
107,2,247 (73-26),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00247,Agreed to,"On the Amendment S.Amdt. 4901: Thompson For Gramm Amdt. No. 4901; To establish the Department of Homeland Security, and for other purposes.",S.Amdt. 4901,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4901,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 19
107,2,246 (69-30),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00246,Agreed to,"On the Motion S.Amdt. 4901: Motion to Waive CBA Re:  Thompson Amdt. No. 4901; To establish the Department of Homeland Security, and for other purposes.",S.Amdt. 4901,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4901,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 19
107,2,244 (65-29),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00244,Agreed to,"On the Cloture Motion S.Amdt. 4901: Motion to Invoke Cloture on the Gramm Amdt. No. 4901; To establish the Department of Homeland Security, and for other purposes.",S.Amdt. 4901,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4901,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 15
107,2,243 (95-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00243,Agreed to,"On the Conference Report: Conference Report to Accompany S. 1214; A bill to amend the Merchant Marine Act, 1936, to establish a program to ensure greater security for United States seaports, and for other purposes.","",,S. 1214,http://hdl.loc.gov/loc.uscongress/legislation.107s1214,Nov 14
107,2,242 (58-36),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00242,Agreed to,On the Motion to Table S.Amdt. 4900: Motion to Table Feingold Amdt. No. 4900; To provide that Members of Congress shall not receive a cost of living adjustment in pay during fiscal year 2003.,S.Amdt. 4900,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4900,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 13
107,2,241 (50-47),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00241,Agreed to,On the Motion to Table S.Amdt. 4471: Motion to Table Lieberman Amdt. No. 4471; To provide a substitute.,S.Amdt. 4471,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4471,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 13
107,2,240 (89-8),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00240,Agreed to,"On the Cloture Motion S.Amdt. 4738: Motion to Invoke Cloture on the Gramm Amdt. No. 4738 to H.R. 5005, upon reconsideration; To prevent terrorist attacks within the United States.",S.Amdt. 4738,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4738,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Nov 13
107,2,239 (93-1),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00239,Agreed to,"On the Conference Report: Conference Report H.R. 5010; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2003, and for other purposes.","",,H.R. 5010,http://hdl.loc.gov/loc.uscongress/legislation.107hr5010,Oct 16
107,2,238 (92-2),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00238,Agreed to,"On the Conference Report: H.R. 3295 Conference Report; A bill to require States and localities to meet uniform and nondiscriminatory election technology and administration requirements applicable to Federal elections, to establish grant programs to provide assistance to States and localities to met those requirements and to improve election technology and the administration of Federal elections, to establish the Election Administration Commission, and for other purposes.","",,H.R. 3295,http://hdl.loc.gov/loc.uscongress/legislation.107hr3295,Oct 16
107,2,233 (75-25),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00233,Agreed to,On the Cloture Motion S.Amdt. 4856: Motion to Invoke Cloture on the Lieberman Amdt. No. 4856; In the nature of a substitute.,S.Amdt. 4856,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4856,S.J.Res. 45,http://hdl.loc.gov/loc.uscongress/legislation.107sjres45,Oct 10
107,2,231 (88-10),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00231,Agreed to,On the Motion to Table S.Amdt. 4857: Motion to Table Graham Amdt. No. 4857; To provide substitute language that includes an authorization for the use of the United States Armed Forces to defend the national security of the United States against the threat posed by certain foreign terrorist organizations.,S.Amdt. 4857,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4857,S.J.Res. 45,http://hdl.loc.gov/loc.uscongress/legislation.107sjres45,Oct 09
107,2,230 (95-1),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00230,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Motion to Proceed to Consider S.J.Res. 45; A joint resolution to authorize the use of United States Armed Forces against Iraq.,"",,S.J.Res. 45,http://hdl.loc.gov/loc.uscongress/legislation.107sjres45,Oct 03
107,2,229 (93-5),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00229,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Conference Report To Accompany H.R. 2215; A bill to authorize appropriations for the Department of Justice for fiscal year 2002, and for other purposes.","",,H.R. 2215,http://hdl.loc.gov/loc.uscongress/legislation.107hr2215,Oct 03
107,2,223 (90-8),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00223,Agreed to,"On the Amendment S.Amdt. 4694: Lieberman Amdt. No. 4694; To establish the National Commission on Terrorist Attacks Upon the United States, and for other purposes.",S.Amdt. 4694,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4694,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Sep 24
107,2,220 (80-15),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00220,Agreed to,On the Motion to Table S.Amdt. 4522: Motion to Table Dodd Amdt. No. 4522; To prohibit the expenditure of funds to recognize Indian tribes and tribal nations until the date of implementation of certain administrative procedures.,S.Amdt. 4522,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4522,H.R. 5093,http://hdl.loc.gov/loc.uscongress/legislation.107hr5093,Sep 23
107,2,212 (79-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00212,Agreed to,On the Motion S.Amdt. 4481: Motion to Waive CBA re: Daschle Amdt No. 4481; To provide emergency disaster assistance to agricultural producers.,S.Amdt. 4481,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4481,H.R. 5093,http://hdl.loc.gov/loc.uscongress/legislation.107hr5093,Sep 10
107,2,210 (87-6),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00210,Agreed to,"On the Amendment S.Amdt. 4492: Boxer-Smith Amdt. No. 4492, as further modified; To amend title 49, United States Code, to improve flight and cabin security  on passenger aircraft.",S.Amdt. 4492,http://hdl.loc.gov/loc.uscongress/legislation.107samdt4492,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Sep 05
107,2,209 (94-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00209,Agreed to,"On the Motion to Proceed: Motion to Proceed to Consider H.R. 5005; A bill to establish the Department of Homeland Security, and for other purposes.","",,H.R. 5005,http://hdl.loc.gov/loc.uscongress/legislation.107hr5005,Sep 03
107,2,207 (64-34),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00207,Agreed to,"On the Conference Report: Conference Report to Accompany H.R. 3009; A bill to extend the Andean Trade Preference Act, to grant additional trade benefits under that Act, and for other purposes.","",,H.R. 3009,http://hdl.loc.gov/loc.uscongress/legislation.107hr3009,Aug 01
107,2,206 (67-31),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00206,Agreed to,"On the Motion: Motion to Waive CBA re: Conference Report to Accompany H.R. 3009; A bill to extend the Andean Trade Preference Act, to grant additional trade benefits under that Act, and for other purposes.","",,H.R. 3009,http://hdl.loc.gov/loc.uscongress/legislation.107hr3009,Aug 01
107,2,203 (64-32),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00203,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Conference Report to Accompany H.R. 3009; A bill to extend the Andean Trade Preference Act, to grant additional trade benefits under that Act, and for other purposes.","",,H.R. 3009,http://hdl.loc.gov/loc.uscongress/legislation.107hr3009,Aug 01
