congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
108,1,459 (54-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00459,Agreed to,"On the Conference Report: H.R. 1 Conference Report; An act to amend title XVIII of the Social Security Act to provide for a voluntary prescription drug benefit under the medicare program and to strengthen and improve the medicare program, and for other purposes.","",,H.R. 1,http://hdl.loc.gov/loc.uscongress/legislation.108hr1,Nov 25
108,1,458 (61-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00458,Agreed to,"On the Motion: Motion To Waive CBA RE: H. R. 1 - Conference Report; An act to amend title XVIII of the Social Security Act to provide for a voluntary prescription drug benefit under the medicare program and to strengthen and improve the medicare program, and for other purposes.","",,H.R. 1,http://hdl.loc.gov/loc.uscongress/legislation.108hr1,Nov 24
108,1,457 (70-29),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00457,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Conference Report to Accompany H.R. 1; An act to amend title XVIII of the Social Security Act to provide for a voluntary prescription drug benefit under the medicare program and to strengthen and improve the medicare program, and for other purposes.","",,H.R. 1,http://hdl.loc.gov/loc.uscongress/legislation.108hr1,Nov 24
108,1,448 (98-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00448,Agreed to,"On the Conference Report: Conference Report on H.R. 2559; A bill making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 2004, and for other purposes.","",,H.R. 2559,http://hdl.loc.gov/loc.uscongress/legislation.108hr2559,Nov 12
108,1,447 (95-3),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00447,Agreed to,"On the Conference Report: Conference Report on H.R. 1588; To authorize appropriations for fiscal year 2004 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe personnel strengths for such fiscal year for the Armed Forces, and for other purposes.","",,H.R. 1588,http://hdl.loc.gov/loc.uscongress/legislation.108hr1588,Nov 12
108,1,446 (87-1),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00446,Agreed to,"On the Motion to Proceed: Motion to Proceed to the Consideration of the Conference Report to Accompany H.R. 1588; To authorize appropriations for fiscal year 2004 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe personnel strengths for such fiscal year for the Armed Forces, and for other purposes.","",,H.R. 1588,http://hdl.loc.gov/loc.uscongress/legislation.108hr1588,Nov 11
108,1,439 (57-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00439,Agreed to,On the Amendment S.Amdt. 2087: Cantwell AMDT. 2087; To prohibit energy market manipulation.,S.Amdt. 2087,http://hdl.loc.gov/loc.uscongress/legislation.108samdt2087,H.R. 2673,http://hdl.loc.gov/loc.uscongress/legislation.108hr2673,Nov 05
108,1,435 (61-32),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00435,Agreed to,On the Motion to Table S.Amdt. 2065: Motion To Table Feingold Amdt. No. 2065; To provide for data-mining reports to Congress.,S.Amdt. 2065,http://hdl.loc.gov/loc.uscongress/legislation.108samdt2065,S. 1753,http://hdl.loc.gov/loc.uscongress/legislation.108s1753,Nov 04
108,1,434 (70-24),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00434,Agreed to,On the Motion to Table S.Amdt. 2054: Motion To Table Feinstein Amdt. No. 2054; To create a national opt-out standard for affiliate sharing to prevent personal customer information from being shared by affiliated companies.,S.Amdt. 2054,http://hdl.loc.gov/loc.uscongress/legislation.108samdt2054,S. 1753,http://hdl.loc.gov/loc.uscongress/legislation.108s1753,Nov 04
108,1,433 (87-2),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=108&session=1&vote=00433,Agreed to,"On the Conference Report: H.R. 2691 Conference Report; A bill making appropriations for the Department of the Interior and related agencies for the fiscal year ending September 30, 2004, and for other purposes.","",,H.R. 2691,http://hdl.loc.gov/loc.uscongress/legislation.108hr2691,Nov 03
