congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
102,1,279 (68-15),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00279,Agreed to,"On the Conference Report: S. 543 Conference Report; An Act to reform Federal deposit insurance, protect the deposit insurance funds, recapitalize the Bank Insurance Fund, improve supervision and regulation of insured depository institutions, and for other purposes.","",,S. 543,http://hdl.loc.gov/loc.uscongress/legislation.102s543,Nov 27
102,1,277 (79-8),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00277,Agreed to,"On the Conference Report: H.R. 2950 Conference Report; A bill to develop a national intermodal surface transportation system, to authorize funds for construction of highways, for highway safety programs, and for mass transit programs, and for other purposes.","",,H.R. 2950,http://hdl.loc.gov/loc.uscongress/legislation.102hr2950,Nov 27
102,1,276 (87-7),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00276,Agreed to,"On the Amendment S.Amdt. 1443: Levin Amendment No. 1443; To express the sense of the Senate that the President should promptly consult with Congress for the purpose of preparing a comprehensive plan entitled ""International Investment for Democracy"" that would assist the Soviet republics to avoid social chaos and achieve economic and political stability.",S.Amdt. 1443,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1443,H.R. 3807,http://hdl.loc.gov/loc.uscongress/legislation.102hr3807,Nov 25
102,1,275 (87-7),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00275,Agreed to,On the Amendment S.Amdt. 1444: Boren Amendment No. 1444; To eliminate a critical threat to nuclear nonproliferation efforts by safeguarding dangerous weapons usable materials from United States and Soviet warheads.,S.Amdt. 1444,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1444,H.R. 3807,http://hdl.loc.gov/loc.uscongress/legislation.102hr3807,Nov 25
102,1,274 (86-8),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00274,Agreed to,On the Resolution of Ratification S.Amdt. 1439: Nunn Amendment No. 1439; To provide for the use of Department of Defense resources for destroying Soviet nuclear and other weapons.,S.Amdt. 1439,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1439,H.R. 3807,http://hdl.loc.gov/loc.uscongress/legislation.102hr3807,Nov 25
102,1,273 (90-4),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00273,Agreed to,"On the Resolution of Ratification: Treaty 102-8; The Treaty on Conventional Armed Forces in Europe (CFE), with Protocols on Existing Types (with Annex), Aircraft Reclassification, Reduction, Helicopter Recategorization, Information Exchange (with Annex), Inspection, the Joint Consultative Group, and Provisional Application; all signed at Paris on November 19, 1990","",,Treaty Doc. 102-8,https://www.congress.gov/treaty-document/102th-congress/8,Nov 25
102,1,272 (66-29),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00272,Agreed to,"On the Conference Report: H.R. 2521 Conference Report; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 1992, and for other purposes.","",,H.R. 2521,http://hdl.loc.gov/loc.uscongress/legislation.102hr2521,Nov 23
102,1,269 (66-31),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00269,Agreed to,"On the Motion to Table S.Amdt. 1409: Motion To Table Specter Amendment No. 1409; To provide an incentive for increased consumer spending and to provide a short-term economic stimulus by waiving the penalty under the Internal Revenue Code of 1986 on certain withdrawals from pension plans which are used to purchase consumer goods and other items and by extending for 1 year the research and experimentation tax credit, the low-income housing tax credit, the mortgage revenue bond tax provisions, and the targeted jobs tax credit.",S.Amdt. 1409,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1409,H.J.Res. 157,http://hdl.loc.gov/loc.uscongress/legislation.102hjres157,Nov 22
102,1,267 (56-41),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00267,Agreed to,On the Motion to Table S.Amdt. 1405: Motion To Table D'Amato Amendment No. 1405; To amend the Harmonized Tariff Schedule of the United States to clarify the classification of certain motor vehicles.,S.Amdt. 1405,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1405,H.J.Res. 157,http://hdl.loc.gov/loc.uscongress/legislation.102hjres157,Nov 22
102,1,265 (79-15),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00265,Agreed to,"On the Conference Report: H.R. 2100 Conference Report; A bill to authorize appropriations for fiscal years 1992 and 1993 for military functions of the Department of Defense and to prescribe military personnel levels for fiscal years 1992 and 1993, and for other purposes.","",,H.R. 2100,http://hdl.loc.gov/loc.uscongress/legislation.102hr2100,Nov 22
102,1,264 (73-23),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00264,Agreed to,On the Motion to Table S.Amdt. 1347: Motion To Table Amendment No. 1347; A bill to authorize the Small Business Administration to participate in the purchase of eligible securities issued by qualified commercial banks or qualified mutual savings banks.,S.Amdt. 1347,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1347,S. 543,http://hdl.loc.gov/loc.uscongress/legislation.102s543,Nov 21
102,1,263 (82-14),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00263,Agreed to,On the Amendment S.Amdt. 1373: Kasten Amendment No. 1373; To express the sense of the Senate that the Congress should immediately adopt legislation to repeal the luxury excise tax on boats.,S.Amdt. 1373,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1373,S. 543,http://hdl.loc.gov/loc.uscongress/legislation.102s543,Nov 21
102,1,262 (64-32),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00262,Agreed to,On the Motion to Table S.Amdt. 1372: Motion To Table Graham Amendment No. 1372; To prohibit the insurance of brokered deposits under the Federal Deposit Insurance Act.,S.Amdt. 1372,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1372,S. 543,http://hdl.loc.gov/loc.uscongress/legislation.102s543,Nov 21
102,1,261 (77-19),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00261,Agreed to,On the Motion to Table S.Amdt. 1371: Motion To Table Graham  Amendment No. 1371; To limit the funding of the FDIC.,S.Amdt. 1371,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1371,S. 543,http://hdl.loc.gov/loc.uscongress/legislation.102s543,Nov 21
102,1,258 (94-2),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00258,Agreed to,On the Motion for Attendance: Motion For Attendance,"",,"",,Nov 20
102,1,256 (55-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00256,Agreed to,"On the Motion to Table S.Amdt. 1356: Motion To Table Amendment No. 1356; To strike title V of the bill, regarding consumer protection.",S.Amdt. 1356,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1356,S. 543,http://hdl.loc.gov/loc.uscongress/legislation.102s543,Nov 19
102,1,255 (91-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00255,Agreed to,On the Amendment S.Amdt. 1351: Kohl Amendment No. 1351; To express the sense of the Senate with respect to foreign deposits.,S.Amdt. 1351,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1351,S. 543,http://hdl.loc.gov/loc.uscongress/legislation.102s543,Nov 18
102,1,253 (74-21),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00253,Agreed to,"On the Motion to Table S.Amdt. 1348: Motion To Table Amendment No. 1348; To provide a ""hold harmless"" provision for severely impacted states which would be hurt by this bill.",S.Amdt. 1348,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1348,H.R. 3575,http://hdl.loc.gov/loc.uscongress/legislation.102hr3575,Nov 15
102,1,252 (55-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00252,Agreed to,"On the Motion to Table S.Amdt. 1343: Motion To Table Amendment No. 1343; To permit a national bank, with the approval of the Comptroller of the Currency, to establish and operate a branch at any location in any other State, provided that such establishment is specifically authorized by such State.",S.Amdt. 1343,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1343,S. 543,http://hdl.loc.gov/loc.uscongress/legislation.102s543,Nov 14
102,1,251 (74-19),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=1&vote=00251,Agreed to,On the Amendment S.Amdt. 1333: D'Amato Amendment No. 1333; To amend the Truth in Lending Act to impose a ceiling on credit card interest rates.,S.Amdt. 1333,http://hdl.loc.gov/loc.uscongress/legislation.102samdt1333,S. 543,http://hdl.loc.gov/loc.uscongress/legislation.102s543,Nov 13
