congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
103,2,328 (68-32),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00328,Agreed to,On the Motion: motion to waive budget act with respect to H.R. 5110; A bill to approve and implement the trade agreements concluded in the Uruguay Round of multilateral trade negotiations.,"",,H.R. 5110,http://hdl.loc.gov/loc.uscongress/legislation.103hr5110,Dec 01
103,2,326 (68-23),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00326,Agreed to,"On the Cloture Motion: MOTION TO INVOKE CLOTURE CONFERENCE REPORT S.21; A bill to designate certain lands in the California Desert as wilderness, to establish Death Valley, Joshua Tree, and Mojave National Parks, and for other purposes.","",,S. 21,http://hdl.loc.gov/loc.uscongress/legislation.103s21,Oct 08
103,2,324 (88-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00324,Agreed to,On the Motion to Proceed: motion to proceed to consideration; A bill to end the practice of imposing unfunded Federal mandates on States and local governments and to ensure that the Federal Government pays the costs incurred by those governments in complying with certain requirements under Federal statutes and regulations.,"",,S. 993,http://hdl.loc.gov/loc.uscongress/legislation.103s993,Oct 06
103,2,321 (77-20),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00321,Agreed to,On the Conference Report: h.r.6 conference report; A bill to extend for six years the authorizations of appropriations for the programs under the Elementary and Secondary Education Act of 1965 and for other purposes.,"",,H.R. 6,http://hdl.loc.gov/loc.uscongress/legislation.103hr6,Oct 05
103,2,320 (75-24),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00320,Agreed to,On the Cloture Motion: motion to invoke cloture conference report H.R. 6; A bill to extend for six years the authorizations of appropriations for the programs under the Elementary and Secondary Education Act of 1965 and for other purposes.,"",,H.R. 6,http://hdl.loc.gov/loc.uscongress/legislation.103hr6,Oct 05
103,2,318 (85-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00318,Agreed to,On the Cloture Motion: motion to invoke cloture nomination of h. lee sarokin,"",,PN1354,https://www.congress.gov/nomination/103th-congress/1354,Oct 04
103,2,316 (63-32),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00316,Agreed to,On the Cloture Motion: Cloture motion on the nomination of Ricki R. Tigert,"",,PN876-1,https://www.congress.gov/nomination/103th-congress/876-1,Oct 03
103,2,315 (76-19),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00315,Agreed to,On the Motion for Attendance: Motion to Instruct Sgt-at-Arms,"",,PN876-1,https://www.congress.gov/nomination/103th-congress/876-1,Oct 03
103,2,312 (89-11),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00312,Agreed to,"On the Conference Report: conference report h..4556; A bill making appropriations for the Department of Transportation and related agencies for the fiscal year ending September 30, 1995, and for other purposes.","",,H.R. 4556,http://hdl.loc.gov/loc.uscongress/legislation.103hr4556,Sep 29
103,2,311 (92-7),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00311,Agreed to,"On the Conference Report: h.r.4602 conference report; A bill making appropriations for the Department of the Interior and related agencies for the fiscal year ending September 30, 1995, and for other purposes.","",,H.R. 4602,http://hdl.loc.gov/loc.uscongress/legislation.103hr4602,Sep 28
103,2,310 (83-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00310,Agreed to,"On the Conference Report: Conference report on H.R. 4606; A bill making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies, for the fiscal year ending September 30, 1995, and for other purposes.","",,H.R. 4606,http://hdl.loc.gov/loc.uscongress/legislation.103hr4606,Sep 27
