congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
103,2,329 (76-24),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00329,Passed,On Passage of the Bill: passage h.r. 5110; A bill to approve and implement the trade agreements concluded in the Uruguay Round of multilateral trade negotiations.,[],H.R. 5110,http://hdl.loc.gov/loc.uscongress/legislation.103hr5110,Dec 01
103,2,328 (68-32),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00328,Agreed to,On the Motion: motion to waive budget act with respect to H.R. 5110; A bill to approve and implement the trade agreements concluded in the Uruguay Round of multilateral trade negotiations.,[],H.R. 5110,http://hdl.loc.gov/loc.uscongress/legislation.103hr5110,Dec 01
103,2,327 (59-30),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00327,Confirmed,On the Nomination: NOMINATION LT. GEN. BUSTER C. GLOSSEN,[],PN1160,https://www.congress.gov/nomination/103th-congress/1160,Oct 08
103,2,326 (68-23),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00326,Agreed to,"On the Cloture Motion: MOTION TO INVOKE CLOTURE CONFERENCE REPORT S.21; A bill to designate certain lands in the California Desert as wilderness, to establish Death Valley, Joshua Tree, and Mojave National Parks, and for other purposes.",[],S. 21,http://hdl.loc.gov/loc.uscongress/legislation.103s21,Oct 08
103,2,325 (55-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00325,Rejected,"On the Cloture Motion: Cloture motion: Conference report - S. 349; A bill to provide for the disclosure of lobbying activities to influence the Federal Government, and for other purposes.",[],S. 349,http://hdl.loc.gov/loc.uscongress/legislation.103s349,Oct 07
103,2,324 (88-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00324,Agreed to,On the Motion to Proceed: motion to proceed to consideration; A bill to end the practice of imposing unfunded Federal mandates on States and local governments and to ensure that the Federal Government pays the costs incurred by those governments in complying with certain requirements under Federal statutes and regulations.,[],S. 993,http://hdl.loc.gov/loc.uscongress/legislation.103s993,Oct 06
103,2,323 (91-8),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00323,Passed,On the Joint Resolution: S. J. Res. 229; A joint resolution regarding United States policy toward Haiti.,[],S.J.Res. 229,http://hdl.loc.gov/loc.uscongress/legislation.103sjres229,Oct 06
103,2,322 (52-46),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00322,Rejected,"On the Cloture Motion: Cloture Motion: S. 349; A bill to provide for the disclosure of lobbying activities to influence the Federal Government, and for other purposes.",[],S. 349,http://hdl.loc.gov/loc.uscongress/legislation.103s349,Oct 06
103,2,321 (77-20),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00321,Agreed to,On the Conference Report: h.r.6 conference report; A bill to extend for six years the authorizations of appropriations for the programs under the Elementary and Secondary Education Act of 1965 and for other purposes.,[],H.R. 6,http://hdl.loc.gov/loc.uscongress/legislation.103hr6,Oct 05
103,2,320 (75-24),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00320,Agreed to,On the Cloture Motion: motion to invoke cloture conference report H.R. 6; A bill to extend for six years the authorizations of appropriations for the programs under the Elementary and Secondary Education Act of 1965 and for other purposes.,[],H.R. 6,http://hdl.loc.gov/loc.uscongress/legislation.103hr6,Oct 05
103,2,319 (63-35),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00319,Confirmed,On the Nomination: Confirmation H. Lee Sarokin,[],PN1354,https://www.congress.gov/nomination/103th-congress/1354,Oct 04
103,2,318 (85-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00318,Agreed to,On the Cloture Motion: motion to invoke cloture nomination of h. lee sarokin,[],PN1354,https://www.congress.gov/nomination/103th-congress/1354,Oct 04
103,2,317 (90-7),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=2&vote=00317,Confirmed,On the Nomination: Ricki Tigert - Member FDIC,[],PN876-1,https://www.congress.gov/nomination/103th-congress/876-1,Oct 04
