congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
112,1,235 (67-32),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00235,Agreed to,"On the Conference Report: Conference Report to Accompany H.R. 2055; A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes.","",,H.R. 2055,http://hdl.loc.gov/loc.uscongress/legislation.112hr2055,Dec 17
112,1,232 (89-10),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00232,Agreed to,On the Amendment S.Amdt. 1465: Reid-McConnell Amdt. No. 1465; In the nature of a substitute.,S.Amdt. 1465,http://hdl.loc.gov/loc.uscongress/legislation.112samdt1465,H.R. 3630,http://hdl.loc.gov/loc.uscongress/legislation.112hr3630,Dec 17
112,1,230 (86-13),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00230,Agreed to,"On the Conference Report: Conference Report To Accompany H.R. 1540; To authorize appropriations for fiscal year 2012 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.","",,H.R. 1540,http://hdl.loc.gov/loc.uscongress/legislation.112hr1540,Dec 15
112,1,226 (70-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00226,Agreed to,"On the Cloture Motion: Cloture on the Nomination of Norman L. Eisen, of the District of Columbia, to be Ambassador to the Czech Republic","",,PN113,https://www.congress.gov/nomination/112th-congress/113,Dec 12
112,1,216 (100-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00216,Agreed to,"On the Amendment S.Amdt. 1414: Menendez Amdt. No. 1414; To require the imposition of sanctions with respect to the financial sector of Iran, including the Central Bank of Iran.",S.Amdt. 1414,http://hdl.loc.gov/loc.uscongress/legislation.112samdt1414,S. 1867,http://hdl.loc.gov/loc.uscongress/legislation.112s1867,Dec 01
112,1,215 (99-1),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00215,Agreed to,On the Amendment S.Amdt. 1456: Feinstein Amdt. No. 1456; Of a perfecting nature.,S.Amdt. 1456,http://hdl.loc.gov/loc.uscongress/legislation.112samdt1456,S. 1867,http://hdl.loc.gov/loc.uscongress/legislation.112s1867,Dec 01
112,1,212 (88-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00212,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on S. 1867; An original bill to authorize appropriations for fiscal year 2012 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.","",,S. 1867,http://hdl.loc.gov/loc.uscongress/legislation.112s1867,Nov 30
112,1,208 (70-30),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00208,Agreed to,"On the Conference Report: Conference Report to Accompany H.R. 2112; An act making consolidated appropriations for the Departments of Agriculture, Commerce, Justice, Transportation, and Housing and Urban Development, and related programs for the fiscal year ending September 30, 2012, and for other purposes.","",,H.R. 2112,http://hdl.loc.gov/loc.uscongress/legislation.112hr2112,Nov 17
112,1,205 (81-14),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00205,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Motion to Proceed to Consider H.R. 2354; A bill making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2012, and for other purposes.","",,H.R. 2354,http://hdl.loc.gov/loc.uscongress/legislation.112hr2354,Nov 10
112,1,203 (94-1),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00203,Agreed to,"On the Amendment S.Amdt. 927: Tester Amdt. No. 927, As Modified; To amend the Internal Revenue Code of 1986 to permit a 100 percent levy for payments to Federal vendors relating to property, to require a study on how to reduce the amount of Federal taxes owed but not paid by Federal contractors, and to make certain improvements in the laws relating to the employment and training of veterans.",S.Amdt. 927,http://hdl.loc.gov/loc.uscongress/legislation.112samdt927,H.R. 674,http://hdl.loc.gov/loc.uscongress/legislation.112hr674,Nov 10
112,1,198 (94-1),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00198,Agreed to,"On Cloture on the Motion to Proceed: Motion to Invoke Cloture on the Motion to Proceed to H.R. 674; To amend the Internal Revenue Code of 1986 to repeal the imposition of 3 percent withholding on certain payments made to vendors by government entities, to modify the calculation of modified adjusted gross income for purposes of determining eligibility for certain healthcare-related programs, and for other purposes.","",,H.R. 674,http://hdl.loc.gov/loc.uscongress/legislation.112hr674,Nov 07
112,1,187 (82-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00187,Agreed to,On the Cloture Motion S.Amdt. 738: Motion to Invoke Cloture on the Inouye Amdt. No. 738; In the nature of a substitute.,S.Amdt. 738,http://hdl.loc.gov/loc.uscongress/legislation.112samdt738,H.R. 2112,http://hdl.loc.gov/loc.uscongress/legislation.112hr2112,Oct 21
112,1,185 (73-26),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00185,Agreed to,On the Amendment S.Amdt. 796: Coburn Amdt. No. 796; To end lending schemes that force taxpayers to repay the loans of delinquent developers and bailout failed or poorly planned local projects.,S.Amdt. 796,http://hdl.loc.gov/loc.uscongress/legislation.112samdt796,H.R. 2112,http://hdl.loc.gov/loc.uscongress/legislation.112hr2112,Oct 21
112,1,183 (84-15),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00183,Agreed to,"On the Amendment S.Amdt. 791: Coburn Amdt. No. 791; To prohibit the use of funds to provide direct payments to persons or legal entities with an average adjusted gross income in excess of $1,000,000.",S.Amdt. 791,http://hdl.loc.gov/loc.uscongress/legislation.112samdt791,H.R. 2112,http://hdl.loc.gov/loc.uscongress/legislation.112hr2112,Oct 21
112,1,181 (58-41),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=112&session=1&vote=00181,Agreed to,On the Amendment S.Amdt. 869: Gillibrand Amdt. No. 869; To increase funding for the emergency conservation program and the emergency watershed protection program.,S.Amdt. 869,http://hdl.loc.gov/loc.uscongress/legislation.112samdt869,H.R. 2112,http://hdl.loc.gov/loc.uscongress/legislation.112hr2112,Oct 20
