congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
107,1,380 (94-2),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00380,Agreed to,"On the Conference Report: Conference Report to Accompany H.R. 3338; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2002, and for other purposes.",[],H.R. 3338,http://hdl.loc.gov/loc.uscongress/legislation.107hr3338,Dec 20
107,1,379 (56-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00379,Agreed to,On the Resolution: H. Con. Res. 295; A concurrent resolution providing for the sine die adjournment of the first session of the One Hundred Seventh Congress.,[],H.Con.Res. 295,http://hdl.loc.gov/loc.uscongress/legislation.107hconres295,Dec 20
107,1,378 (90-7),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00378,Agreed to,"On the Conference Report: Conference  Report to Accompany H.R. 3061; A bill making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September 30, 2002, and for other purposes.",[],H.R. 3061,http://hdl.loc.gov/loc.uscongress/legislation.107hr3061,Dec 20
107,1,377 (54-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00377,Rejected,On the Cloture Motion S.Amdt. 2471: Motion to Invoke Cloture on the Harkin Amdt. No. 2471; To provide a complete substitute.,"[[""S.Amdt. 2471"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt2471""]]",S. 1731,http://hdl.loc.gov/loc.uscongress/legislation.107s1731,Dec 19
107,1,376 (59-38),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00376,Agreed to,On the Motion to Table S.Amdt. 2678: Motion to Table Hutchinson Amdt. No. 2678; To provide a complete substitute.,"[[""S.Amdt. 2678"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt2678""]]",S. 1731,http://hdl.loc.gov/loc.uscongress/legislation.107s1731,Dec 19
107,1,375 (61-33),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00375,Agreed to,On the Motion to Table S.Amdt. 2596: Motion to Table Smith(NH) Amdt. No. 2596; To provide for Presidential certification that the government of Cuba is not involved in the support for acts of international terrorism as a condition precedent to agricultural trade with Cuba.,"[[""S.Amdt. 2596"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt2596""]]",S. 1731,http://hdl.loc.gov/loc.uscongress/legislation.107s1731,Dec 18
107,1,374 (55-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00374,Agreed to,On the Motion to Table S.Amdt. 2671: Motion to Table Cochran Amendment No. 2671; To provide a complete substitute.,"[[""S.Amdt. 2671"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt2671""]]",S. 1731,http://hdl.loc.gov/loc.uscongress/legislation.107s1731,Dec 18
107,1,373 (68-27),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00373,Agreed to,On the Motion to Table S.Amdt. 2603: Motion to table McCain Amdt. No. 2603; To provide for the market name for catfish.,"[[""S.Amdt. 2603"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt2603""]]",S. 1731,http://hdl.loc.gov/loc.uscongress/legislation.107s1731,Dec 18
107,1,372 (54-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00372,Rejected,"On the Cloture Motion S.Amdt. 2471: Motion to Invoke Cloture on the Harkin Amdt. No. 2471 to S. 1731, Upon Reconsideration; To provide a complete substitute.","[[""S.Amdt. 2471"", ""http://hdl.loc.gov/loc.uscongress/legislation.107samdt2471""]]",S. 1731,http://hdl.loc.gov/loc.uscongress/legislation.107s1731,Dec 18
107,1,371 (87-10),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=1&vote=00371,Agreed to,"On the Conference Report: H.R. 1 Conference Report; A bill to close the achievement gap with accountability, flexibility, and choice, so that no child is left behind.",[],H.R. 1,http://hdl.loc.gov/loc.uscongress/legislation.107hr1,Dec 18
