congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
103,1,393 (54-45),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00393,Agreed to,"On the Conference Report: conference report s.714; An original bill to provide funding for the resolution of failed savings associations, and for other purposes.","",,S. 714,http://hdl.loc.gov/loc.uscongress/legislation.103s714,Nov 20
103,1,392 (79-20),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00392,Agreed to,"On the Conference Report: conference report h.r. 3167; A bill to extend the emergency unemployment compensation program, to establish a system of worker profiling, and for other purposes.","",,H.R. 3167,http://hdl.loc.gov/loc.uscongress/legislation.103hr3167,Nov 20
103,1,388 (72-26),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00388,Agreed to,On the Cloture Motion: Cloture Motion Janet Ann Napolitano - U.S. Attorney of Arizona,"",,PN451,https://www.congress.gov/nomination/103th-congress/451,Nov 19
103,1,385 (54-45),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00385,Agreed to,On the Amendment S.Amdt. 1219: mitchell amdt no. 1219; To strike preemption language.,S.Amdt. 1219,http://hdl.loc.gov/loc.uscongress/legislation.103samdt1219,S. 414,http://hdl.loc.gov/loc.uscongress/legislation.103s414,Nov 19
103,1,382 (68-29),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00382,Agreed to,On the Motion to Table S.Amdt. 1206: Motion to Table Cochran Amdt. No. 1206; To repeal the separate independent counsel appointment process and provide for the Presidential appointment of a special counsel within the Department of Justice if necessary to avoid a conflict of interest.,S.Amdt. 1206,http://hdl.loc.gov/loc.uscongress/legislation.103samdt1206,S. 24,http://hdl.loc.gov/loc.uscongress/legislation.103s24,Nov 17
103,1,381 (67-31),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00381,Agreed to,On the Motion to Table S.Amdt. 1205: Motion to Table McCain Amdt. No. 1205; To remove Members of Congress from the discretionary preliminary investigation provisions and to require such investigations.,S.Amdt. 1205,http://hdl.loc.gov/loc.uscongress/legislation.103samdt1205,S. 24,http://hdl.loc.gov/loc.uscongress/legislation.103s24,Nov 17
103,1,380 (77-22),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00380,Agreed to,"On the Conference Report: Conference Report on H.R.2401; A bill to authorize appropriations for fiscal year 1994 for military activities of the Department of Defense, to prescribe military personnel strengths for fiscal year 1994, and for other purposes.","",,H.R. 2401,http://hdl.loc.gov/loc.uscongress/legislation.103hr2401,Nov 17
103,1,377 (74-25),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00377,Agreed to,On the Amendment S.Amdt. 1199: D'Amato Amdt. No. 1199; To amend the Controlled Substances Act to provide the death penalty for engaging in a continuing criminal drug enterprise involving a large quantity of drugs.,S.Amdt. 1199,http://hdl.loc.gov/loc.uscongress/legislation.103samdt1199,S. 1607,http://hdl.loc.gov/loc.uscongress/legislation.103s1607,Nov 17
103,1,375 (56-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00375,Agreed to,"On the Amendment S.Amdt. 1152: Feinstein Amdt. No. 1152; To restrict the manufacture, transfer, and possession of certain semiautomatic assault weapons and large capacity ammunition feeding devices.",S.Amdt. 1152,http://hdl.loc.gov/loc.uscongress/legislation.103samdt1152,S. 1607,http://hdl.loc.gov/loc.uscongress/legislation.103s1607,Nov 17
103,1,374 (65-34),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=103&session=1&vote=00374,Agreed to,On the Motion to Table: Motion to Table S.1657; A bill to reform habeas corpus procedures.,"",,S. 1657,http://hdl.loc.gov/loc.uscongress/legislation.103s1657,Nov 17
