congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
113,1,291 (59-34),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00291,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Janet L. Yellen to be Chairman of the Board of Governors of the Federal Reserve System,"",,PN921,https://www.congress.gov/nomination/113th-congress/921,Dec 20
113,1,289 (56-36),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00289,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Brian J. Davis, to be U.S. District Judge","",,PN12,https://www.congress.gov/nomination/113th-congress/12,Dec 20
113,1,287 (56-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00287,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of John A. Koskinen, to be Commissioner of Internal Revenue","",,PN784,https://www.congress.gov/nomination/113th-congress/784,Dec 20
113,1,285 (55-45),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00285,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Alejandro Nicholas Mayorkas, of the District of Columbia, to be Deputy Secretary of Homeland Security","",,PN640,https://www.congress.gov/nomination/113th-congress/640,Dec 19
113,1,284 (84-15),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00284,Agreed to,"On the Motion: Motion to Concur in the House Amendment to Senate Amendment to H.R. 3304; To authorize appropriations for fiscal year 2014 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.","",,H.R. 3304,http://hdl.loc.gov/loc.uscongress/legislation.113hr3304,Dec 19
113,1,282 (71-29),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00282,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 3304; To authorize appropriations for fiscal year 2014 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.","",,H.R. 3304,http://hdl.loc.gov/loc.uscongress/legislation.113hr3304,Dec 18
113,1,281 (64-36),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00281,Agreed to,"On the Motion: Motion to Concur in the House Amendment to the Senate Amendment to H.J.Res. 59; A joint resolution making continuing appropriations for fiscal year 2014, and for other purposes.","",,H.J.Res. 59,http://hdl.loc.gov/loc.uscongress/legislation.113hjres59,Dec 18
113,1,279 (67-33),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00279,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Motion to Concur in the House Amendment to Senate Amendment to H.J.Res. 59; A joint resolution making continuing appropriations for fiscal year 2014, and for other purposes.","",,H.J.Res. 59,http://hdl.loc.gov/loc.uscongress/legislation.113hjres59,Dec 17
113,1,278 (55-37),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00278,Agreed to,On the Motion to Proceed: Motion to Proceed to Executive Session,"",,PN784,https://www.congress.gov/nomination/113th-congress/784,Dec 16
113,1,277 (53-38),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00277,Agreed to,On the Motion to Proceed: Motion to Proceed to Executive Session,"",,PN640,https://www.congress.gov/nomination/113th-congress/640,Dec 16
113,1,275 (57-37),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00275,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Jeh Charles Johnson, of New Jersey, to be Secretary of Homeland Security","",,PN925,https://www.congress.gov/nomination/113th-congress/925,Dec 16
113,1,273 (54-36),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00273,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Anne W. Patterson, of Virginia, to be an Assistant Secretary of State","",,PN786,https://www.congress.gov/nomination/113th-congress/786,Dec 13
113,1,271 (51-34),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00271,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Heather Higginbottom to be Deputy Secretary of State,"",,PN808,https://www.congress.gov/nomination/113th-congress/808,Dec 13
113,1,269 (58-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00269,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Deborah Lee James, of Virginia, to be Secretary of the Air Force","",,PN774,https://www.congress.gov/nomination/113th-congress/774,Dec 12
113,1,267 (58-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00267,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Susan P. Watters, of Montana, to be U.S. District Judge for the District of Montana","",,PN462,https://www.congress.gov/nomination/113th-congress/462,Dec 12
113,1,265 (57-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00265,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Brian Morris, of Montana, to be U.S. District Judge for the District of Montana","",,PN461,https://www.congress.gov/nomination/113th-congress/461,Dec 12
113,1,263 (57-41),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00263,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Patricia M. Wald, to be a Member of the Privacy and Civil Liberties Oversight Board","",,PN243,https://www.congress.gov/nomination/113th-congress/243,Dec 12
113,1,261 (58-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00261,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Landya B. McCafferty, of N.H., to be U.S. District Judge","",,PN460,https://www.congress.gov/nomination/113th-congress/460,Dec 12
113,1,259 (55-41),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00259,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Elizabeth A. Wolford, of N.Y., to be U.S. District Judge","",,PN424,https://www.congress.gov/nomination/113th-congress/424,Dec 12
113,1,257 (57-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00257,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Chai Rachel Feldblum to be a Member of the Equal Employment Opportunity Commission,"",,PN507,https://www.congress.gov/nomination/113th-congress/507,Dec 12
113,1,255 (56-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00255,Agreed to,"On the Cloture Motion: Upon Reconsideration, Motion to Invoke Cloture on the Nomination of Cornelia Pillard to be U.S. Circuit Judge","",,PN528,https://www.congress.gov/nomination/113th-congress/528,Dec 10
113,1,254 (54-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00254,Agreed to,On the Motion to Reconsider: Motion to Reconsider the Motion to Invoke Cloture on the Nomination of Cornelia Pillard to be U.S. Circuit Judge,"",,PN528,https://www.congress.gov/nomination/113th-congress/528,Dec 10
113,1,253 (54-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00253,Agreed to,On the Motion to Proceed: Motion to Proceed to the Motion to Reconsider the Motion to Invoke Cloture on the Nomination of Cornelia Pillard,"",,PN528,https://www.congress.gov/nomination/113th-congress/528,Dec 10
113,1,251 (57-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00251,Agreed to,"On the Cloture Motion: Upon Reconsideration, Motion to Invoke Cloture on the Nomination of Melvin L. Watt, of North Carolina, to be Director of the Federal Housing Finance Agency","",,PN408,https://www.congress.gov/nomination/113th-congress/408,Dec 10
113,1,249 (54-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00249,Agreed to,On the Motion to Reconsider: Motion to Reconsider the Motion to Invoke Cloture on the Nomination of Melvin L. Watt to be Director of the Federal Housing Finance Agency,"",,PN408,https://www.congress.gov/nomination/113th-congress/408,Dec 10
113,1,248 (54-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00248,Agreed to,On the Motion to Proceed: Motion to Proceed to the Motion to Reconsider the Motion to Invoke Cloture on the Nomination of Melvin Watt,"",,PN408,https://www.congress.gov/nomination/113th-congress/408,Dec 10
113,1,246 (51-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00246,Agreed to,On the Concurrent Resolution: S. Con. Res. 28; A concurrent resolution providing for a conditional adjournment or recess of the Senate and an adjournment of the House of Representatives.,"",,S.Con.Res. 28,http://hdl.loc.gov/loc.uscongress/legislation.113sconres28,Nov 21
113,1,244 (55-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00244,Agreed to,On the Cloture Motion: Upon Reconsideration Motion to Invoke Cloture on the Nomination of Patricia Ann Millett,"",,PN527,https://www.congress.gov/nomination/113th-congress/527,Nov 21
113,1,241 (57-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00241,Agreed to,On the Motion to Reconsider: Motion to Reconsider the Motion to Invoke Cloture on the Nomination of Patricia Ann Millett,"",,PN527,https://www.congress.gov/nomination/113th-congress/527,Nov 21
