congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
102,2,270 (67-22),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00270,Agreed to,"On the Conference Report: Conference report; A bill to amend the Internal Revenue Code of 1986 to provide tax incentives for the establishment of tax enterprise zones, and for other purposes.","",,H.R. 11,http://hdl.loc.gov/loc.uscongress/legislation.102hr11,Oct 08
102,2,269 (60-29),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00269,Agreed to,"On the Conference Report: motion to waive cba @ conference rept to h.r.11; A bill to amend the Internal Revenue Code of 1986 to provide tax incentives for the establishment of tax enterprise zones, and for other purposes.","",,H.R. 11,http://hdl.loc.gov/loc.uscongress/legislation.102hr11,Oct 08
102,2,268 (80-10),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00268,Agreed to,"On the Cloture Motion: cloture motion on conference report on h.r.11; A bill to amend the Internal Revenue Code of 1986 to provide tax incentives for the establishment of tax enterprise zones, and for other purposes.","",,H.R. 11,http://hdl.loc.gov/loc.uscongress/legislation.102hr11,Oct 08
102,2,267 (83-8),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00267,Agreed to,"On the Conference Report: conference report on h.r.429; A bill to authorize additional appropriations for the construction of the Buffalo Bill Dam and Reservoir, Shoshone Project, Pick-Sloan Missouri Basin Program, Wyoming.","",,H.R. 429,http://hdl.loc.gov/loc.uscongress/legislation.102hr429,Oct 08
102,2,266 (84-8),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00266,Agreed to,On the Cloture Motion: cloture motion on conference report on h.r.776; A bill to provide for improved energy efficiency.,"",,H.R. 776,http://hdl.loc.gov/loc.uscongress/legislation.102hr776,Oct 08
102,2,265 (68-30),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00265,Agreed to,"On the Conference Report: conference report to h.r.5427; A bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 1993, and for other purposes.","",,H.R. 5427,http://hdl.loc.gov/loc.uscongress/legislation.102hr5427,Oct 05
102,2,263 (85-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00263,Agreed to,"On the Cloture Motion: cloture motion; A bill to amend the Public Health Service Act to revise and extend the programs of the National Institutes of Health, and for other purposes.","",,S. 2899,http://hdl.loc.gov/loc.uscongress/legislation.102s2899,Oct 02
102,2,260 (82-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00260,Agreed to,"On the Conference Report: Conference Report; A bill making appropriations for the Departments of Commerce, Justice, and State, and the Judiciary, and related agencies for the fiscal year ending September 30, 1993, and for other purposes.","",,H.R. 5678,http://hdl.loc.gov/loc.uscongress/legislation.102hr5678,Oct 01
102,2,257 (85-13),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00257,Agreed to,"On the Amendment S.Amdt. 3357: seymour amdt no. 3357; To reduce the legislative branch budget by 15 percent over the next three years, to prohibit the carrying over of funds from one year to the next, and to require an audit of the current staff needs of the Congress.",S.Amdt. 3357,http://hdl.loc.gov/loc.uscongress/legislation.102samdt3357,H.R. 5427,http://hdl.loc.gov/loc.uscongress/legislation.102hr5427,Oct 01
102,2,246 (87-6),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00246,Agreed to,"On the Cloture Motion: Cloture Motion @ Treaty 102-20/32; The Protocol to the Treaty between the United States of America and the Union of Soviet Socialist Republics on the Reduction and Limitation of Strategic Offensive Arms (the Protocol) signed at Lisbon, Portugal, on May 23, 1992","",,Treaty Doc. 102-32,https://www.congress.gov/treaty-document/102th-congress/32,Sep 29
102,2,243 (46-30),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00243,Agreed to,"On the Motion to Table S.Amdt. 3200: Motion To Table Amendment No. 3200; To increase the supplemental young child credit and phaseout percentages as such percentages relate to the earned income credit, to amend the provision relating to deduction for qualified adoption expenses, and for other purposes.",S.Amdt. 3200,http://hdl.loc.gov/loc.uscongress/legislation.102samdt3200,H.R. 11,http://hdl.loc.gov/loc.uscongress/legislation.102hr11,Sep 26
102,2,241 (51-37),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00241,Agreed to,On the Motion to Table S.Amdt. 3189: Motion To Table Amendment No. 3189; To exempt food and medicine from prohibition against deductions.,S.Amdt. 3189,http://hdl.loc.gov/loc.uscongress/legislation.102samdt3189,H.R. 11,http://hdl.loc.gov/loc.uscongress/legislation.102hr11,Sep 25
102,2,239 (62-31),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00239,Agreed to,On the Motion to Table S.Amdt. 3179: Motion To Table Gramm Amdt No. 3179; To amend the Internal Revenue Code of 1986 to repeal designation of income tax payments to presidential election campaign fund.,S.Amdt. 3179,http://hdl.loc.gov/loc.uscongress/legislation.102samdt3179,H.R. 11,http://hdl.loc.gov/loc.uscongress/legislation.102hr11,Sep 25
102,2,237 (75-19),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00237,Agreed to,On the Motion to Table S.Amdt. 3174: Motion To Table Simon/Conrad Amendment No.  3174; Striking the deduction for goodwill.,S.Amdt. 3174,http://hdl.loc.gov/loc.uscongress/legislation.102samdt3174,H.R. 11,http://hdl.loc.gov/loc.uscongress/legislation.102hr11,Sep 24
102,2,235 (56-38),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00235,Agreed to,"On the Motion to Table S.Amdt. 3170: Motion To Table Harkin Amdt No.3170; To amend the Internal Revenue Code of 1986 to limit deductions for advertising and promotional expenses for tobacco products, and to use the resulting revenues for advertising expenditures to persuade individuals not to use tobacco products.",S.Amdt. 3170,http://hdl.loc.gov/loc.uscongress/legislation.102samdt3170,H.R. 11,http://hdl.loc.gov/loc.uscongress/legislation.102hr11,Sep 24
102,2,233 (50-46),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00233,Agreed to,"On the Motion to Table S.Amdt. 3163: Motion To Table Deconcini Amdt No. 3163; To provide a credit against tax for employers who provide on-site day-care facilities for dependents of their employees, and for other purposes.",S.Amdt. 3163,http://hdl.loc.gov/loc.uscongress/legislation.102samdt3163,H.R. 11,http://hdl.loc.gov/loc.uscongress/legislation.102hr11,Sep 24
102,2,228 (89-4),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00228,Agreed to,"On the Amendment S.Amdt. 3142: Harkin Amdt No. 3142; To transfer $200,000,000 from the Strategic Defense Initiative to the Army for a peer reviewed breast cancer research program of the Army.",S.Amdt. 3142,http://hdl.loc.gov/loc.uscongress/legislation.102samdt3142,H.R. 5504,http://hdl.loc.gov/loc.uscongress/legislation.102hr5504,Sep 22
102,2,225 (74-25),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00225,Agreed to,"On the Conference Report: S. 12 - Conference Report; A bill to amend title VI of the Communications Act of 1934 to ensure carriage on cable television of local news and other programming and to restore the right of local regulatory authorities to regulate cable television rates, and for other purposes.","",,S. 12,http://hdl.loc.gov/loc.uscongress/legislation.102s12,Sep 22
102,2,224 (83-13),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00224,Agreed to,"On the Motion for Attendance: Motion To Instruct Sergeant At Arms To Request Presence Of Senators; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 1993, and for other purposes.","",,H.R. 5504,http://hdl.loc.gov/loc.uscongress/legislation.102hr5504,Sep 22
102,2,221 (73-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=102&session=2&vote=00221,Agreed to,On the Motion to Table S.Amdt. 3080: Motion To Table Dodd Amdt No.3080; To provide Presidential Waiver Authority.,S.Amdt. 3080,http://hdl.loc.gov/loc.uscongress/legislation.102samdt3080,S. 3114,http://hdl.loc.gov/loc.uscongress/legislation.102s3114,Sep 18
