congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
101,1,312 (99-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00312,Agreed to,"On the Resolution: S. Res. 217; A resolution deploring the escalating violence in El Salvador; condemning the killing of innocent civilians, including six Jesuit priests; and calling for an immediate cessation of hostilities.",[],S.Res. 217,http://hdl.loc.gov/loc.uscongress/legislation.101sres217,Nov 21
101,1,311 (58-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00311,Agreed to,"On the Motion to Table S.Amdt. 1188: Motion To Table Amendment No. 1188; To restrict the amount available for military assistance for El Salvador until Salvadoran authorities have concluded investigative actions and apprehended and brought to trial those responsible for ordering and carrying out the November 16, 1989, murders of certain individuals in that country.","[[""S.Amdt. 1188"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt1188""]]",H.R. 3743,http://hdl.loc.gov/loc.uscongress/legislation.101hr3743,Nov 20
101,1,310 (29-68),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00310,Rejected,On the Amendment S.Amdt. 1165: Cranston Amendment No. 1165; To delete all production funding for the B2 aircraft.,"[[""S.Amdt. 1165"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt1165""]]",H.R. 3072,http://hdl.loc.gov/loc.uscongress/legislation.101hr3072,Nov 18
101,1,309 (97-0),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00309,Agreed to,On the Amendment S.Amdt. 1164: Byrd Amendment No. 1164; No Statement of Purpose on File.,"[[""S.Amdt. 1164"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt1164""]]",H.R. 3072,http://hdl.loc.gov/loc.uscongress/legislation.101hr3072,Nov 17
101,1,308 (56-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00308,Agreed to,On the Amendment S.Amdt. 1163: Mitchell Amendment No. 1163; In the nature of a substitute.,"[[""S.Amdt. 1163"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt1163""]]",H.R. 3660,http://hdl.loc.gov/loc.uscongress/legislation.101hr3660,Nov 17
101,1,307 (68-31),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00307,Agreed to,"On the Motion: Motion To Waive Budget Act; A bill to amend the Rules of the House of Representatives and the Ethics in Government Act of 1978 to provide for government-wide ethics reform, and for other purposes.",[],H.R. 3660,http://hdl.loc.gov/loc.uscongress/legislation.101hr3660,Nov 17
101,1,306 (65-34),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00306,Agreed to,On the Motion to Table S.Amdt. 1162: Motion To Table Helms Amendment No. 1162; To repeal pay increase provisions.,"[[""S.Amdt. 1162"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt1162""]]",H.R. 3660,http://hdl.loc.gov/loc.uscongress/legislation.101hr3660,Nov 17
101,1,305 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00305,Agreed to,On the Motion to Table S.Amdt. 1160: Motion To Table Amendment No. 1160; To repeal the grandfather clause.,"[[""S.Amdt. 1160"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt1160""]]",H.R. 3660,http://hdl.loc.gov/loc.uscongress/legislation.101hr3660,Nov 17
101,1,304 (90-9),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00304,Agreed to,On the Cloture Motion S.Amdt. 1158: Motion To Invoke Cloture; In the nature of a substitute.,"[[""S.Amdt. 1158"", ""http://hdl.loc.gov/loc.uscongress/legislation.101samdt1158""]]",H.R. 3660,http://hdl.loc.gov/loc.uscongress/legislation.101hr3660,Nov 17
101,1,303 (11-88),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=101&session=1&vote=00303,Rejected,"On the Motion to Postpone: Motion To Postpone; A bill to amend the Rules of the House of Representatives and the Ethics in Government Act of 1978 to provide for government-wide ethics reform, and for other purposes.",[],H.R. 3660,http://hdl.loc.gov/loc.uscongress/legislation.101hr3660,Nov 17
