congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
113,2,366 (51-38),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00366,Confirmed,"On the Nomination: Confirmation Stephen R. Bough, of Missouri, to be U.S. District Judge for the Western District of Missouri",[],PN1345,https://www.congress.gov/nomination/113th-congress/1345,Dec 16
113,2,365 (51-38),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00365,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on Stephen R. Bough, of Missouri, to be U.S. District Judge for the Western District of Missouri",[],PN1345,https://www.congress.gov/nomination/113th-congress/1345,Dec 16
113,2,364 (76-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00364,Passed,"On Passage of the Bill: H.R. 5771; To amend the Internal Revenue Code of 1986 to extend certain expiring provisions and make technical corrections, to amend the Internal Revenue Code of 1986 to provide for the tax treatment of ABLE accounts established under State programs for the care of family members with disabilities, and for other purposes.",[],H.R. 5771,http://hdl.loc.gov/loc.uscongress/legislation.113hr5771,Dec 16
113,2,363 (65-28),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00363,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Colette Dodson Honorable, of Arkansas, to be a Member of FERC",[],PN1986,https://www.congress.gov/nomination/113th-congress/1986,Dec 16
113,2,362 (55-38),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00362,Confirmed,"On the Nomination: Confirmation Antony Blinken, of New York, to be Deputy Secretary of State",[],PN2123,https://www.congress.gov/nomination/113th-congress/2123,Dec 16
113,2,361 (53-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00361,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on Antony Blinken, of New York, to be Deputy Secretary of State.",[],PN2123,https://www.congress.gov/nomination/113th-congress/2123,Dec 16
113,2,360 (55-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00360,Confirmed,"On the Nomination: Confirmation Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security",[],PN1996,https://www.congress.gov/nomination/113th-congress/1996,Dec 16
113,2,359 (53-41),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00359,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security",[],PN1996,https://www.congress.gov/nomination/113th-congress/1996,Dec 16
113,2,358 (54-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00358,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State",[],PN1099,https://www.congress.gov/nomination/113th-congress/1099,Dec 15
113,2,357 (54-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00357,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board",[],PN1753,https://www.congress.gov/nomination/113th-congress/1753,Dec 15
113,2,356 (51-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00356,Confirmed,On the Nomination: Confirmation Vivek Hallegere Murthy to be Surgeon General,[],PN1160,https://www.congress.gov/nomination/113th-congress/1160,Dec 15
113,2,355 (51-43),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=2&vote=00355,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Vivek Hallegere Murthy,[],PN1160,https://www.congress.gov/nomination/113th-congress/1160,Dec 15
