congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
111,1,395 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00395,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on H.R. 3590; An act entitled The Patient Protection and Affordable Care Act.,"",,H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,394 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00394,Agreed to,On the Amendment S.Amdt. 2786: Reid Substitute Amendment No. 2786 As Amended; In the nature of a substitute.,S.Amdt. 2786,http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786,H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,393 (53-46),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00393,Agreed to,On the Motion to Table S.Amdt. 2786: Motion to Table DeMint Motion to Suspend Rule XXII of the Standing Rules of the Senate; In the nature of a substitute.,S.Amdt. 2786,http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786,H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,391 (57-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00391,Agreed to,On the Motion to Table S.Amdt. 2786: Motion to Table the Appeal of the Ruling of the Chair Re: Rule XLIV of Paragraph 4 Against Amdt. No. 2786; In the nature of a substitute.,S.Amdt. 2786,http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786,H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,390 (55-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00390,Agreed to,On the Motion S.Amdt. 2786: Motion to Waive the CBA Section 425 A(2) re: Reid Amdt. No. 2786; In the nature of a substitute.,S.Amdt. 2786,http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786,H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,388 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00388,Agreed to,On the Cloture Motion S.Amdt. 2786: Motion to Invoke Cloture on the Reid Substitute Amdt. No. 2786; In the nature of a substitute.,S.Amdt. 2786,http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786,H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 22
111,1,387 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00387,Agreed to,On the Amendment S.Amdt. 3276: Reid Amdt. No. 3276; To improve the bill.,S.Amdt. 3276,http://hdl.loc.gov/loc.uscongress/legislation.111samdt3276,H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 22
111,1,386 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00386,Agreed to,On the Motion to Table S.Amdt. 3278: Motion to Table Reid Amdt. No. 3278; To change the enactment date.,S.Amdt. 3278,http://hdl.loc.gov/loc.uscongress/legislation.111samdt3278,H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 22
111,1,385 (60-40),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00385,Agreed to,On the Cloture Motion S.Amdt. 3276: Motion to Invoke Cloture on the Reid Amdt. No. 3276 to Amdt. No. 2786 to H.R. 3590; To improve the bill.,S.Amdt. 3276,http://hdl.loc.gov/loc.uscongress/legislation.111samdt3276,H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 21
111,1,384 (88-10),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00384,Agreed to,"On the Motion: Motion To Concur In The House Amdt. To The Senate Amdt.; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes.","",,H.R. 3326,http://hdl.loc.gov/loc.uscongress/legislation.111hr3326,Dec 19
111,1,383 (63-35),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00383,Agreed to,"On the Motion: Motion to Waive CBA and All Budget Resolutions Re: Motion to Concur in House Amdt. to H.R. 3326; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes.","",,H.R. 3326,http://hdl.loc.gov/loc.uscongress/legislation.111hr3326,Dec 19
111,1,382 (63-35),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00382,Agreed to,"On the Motion to Table: Motion to Table the Motion to Concur in the House Amdt. with an Amendment (Amdt. No. 3248); A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes.","",,H.R. 3326,http://hdl.loc.gov/loc.uscongress/legislation.111hr3326,Dec 19
111,1,381 (63-33),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00381,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 3326.; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes.","",,H.R. 3326,http://hdl.loc.gov/loc.uscongress/legislation.111hr3326,Dec 18
