congress_id,session_id,vote,vote_url,result,question_description,reference_issue,reference_issue_url,issue,issue_url,date
110,2,214 (89-6),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00214,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Motion to Proceed to H.R. 6867; A bill to provide for additional emergency unemployment compensation.,"",,H.R. 6867,http://hdl.loc.gov/loc.uscongress/legislation.110hr6867,Nov 20
110,2,212 (74-25),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00212,Agreed to,On the Amendment S.Amdt. 5685: Dodd Amdt. No. 5685; In the nature of a substitute.,S.Amdt. 5685,http://hdl.loc.gov/loc.uscongress/legislation.110samdt5685,H.R. 1424,http://hdl.loc.gov/loc.uscongress/legislation.110hr1424,Oct 01
110,2,210 (74-24),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00210,Agreed to,"On the Motion: Motion to Concur in the House Amdt. To the Senate Amdt. to H.R. 2095; A bill to amend title 49, United States Code, to prevent railroad fatalities, injuries, and hazardous materials releases, to authorize the Federal Railroad Safety Administration, and for other purposes.","",,H.R. 2095,http://hdl.loc.gov/loc.uscongress/legislation.110hr2095,Oct 01
110,2,209 (69-17),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00209,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Motion to Concur in the House Amdt. to the Senate Amdt. to H.R. 2095; A bill to amend title 49, United States Code, to prevent railroad fatalities, injuries, and hazardous materials releases, to authorize the Federal Railroad Safety Administration, and for other purposes.","",,H.R. 2095,http://hdl.loc.gov/loc.uscongress/legislation.110hr2095,Sep 29
110,2,208 (78-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00208,Agreed to,"On the Motion: Motion to Concur in the House Amendment to the Senate Amendment to H.R.2638; A bill making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2008, and for other purposes.","",,H.R. 2638,http://hdl.loc.gov/loc.uscongress/legislation.110hr2638,Sep 27
110,2,207 (83-12),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00207,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Motion to Concur in the House Amdt. to the Senate Amdt. to H.R.2638; A bill making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2008, and for other purposes.","",,H.R. 2638,http://hdl.loc.gov/loc.uscongress/legislation.110hr2638,Sep 27
110,2,204 (84-11),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00204,Agreed to,"On the Motion S.Amdt. 5635: Motion to Waive C.B.A. Baucus Amdt. No.5635; To amend the Internal Revenue Code of 1986 to extend certain expiring provisions, and for other purposes.",S.Amdt. 5635,http://hdl.loc.gov/loc.uscongress/legislation.110samdt5635,H.R. 6049,http://hdl.loc.gov/loc.uscongress/legislation.110hr6049,Sep 23
110,2,202 (93-2),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00202,Agreed to,On the Amendment S.Amdt. 5633: Baucus Amdt. No. 5633; In the nature of a substitute.,S.Amdt. 5633,http://hdl.loc.gov/loc.uscongress/legislation.110samdt5633,H.R. 6049,http://hdl.loc.gov/loc.uscongress/legislation.110hr6049,Sep 23
110,2,200 (61-32),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00200,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on S. 3001; An original bill to authorize appropriations for fiscal year 2009 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.","",,S. 3001,http://hdl.loc.gov/loc.uscongress/legislation.110s3001,Sep 16
110,2,199 (94-2),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00199,Agreed to,On the Amendment S.Amdt. 4979: Nelson (FL) Amdt. No. 4979; To repeal the requirement for reduction of survivor annuities under the Survivor Benefit Plan by veterans' dependency and indemnity compensation.,S.Amdt. 4979,http://hdl.loc.gov/loc.uscongress/legislation.110samdt4979,S. 3001,http://hdl.loc.gov/loc.uscongress/legislation.110s3001,Sep 10
