congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
113,1,291 (59-34),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00291,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Janet L. Yellen to be Chairman of the Board of Governors of the Federal Reserve System,[],PN921,https://www.congress.gov/nomination/113th-congress/921,Dec 20
113,1,290 (68-26),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00290,Confirmed,"On the Nomination: Confirmation Brian J. Davis, of Florida, to be U.S. District Judge",[],PN12,https://www.congress.gov/nomination/113th-congress/12,Dec 20
113,1,289 (56-36),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00289,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Brian J. Davis, to be U.S. District Judge",[],PN12,https://www.congress.gov/nomination/113th-congress/12,Dec 20
113,1,288 (59-36),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00288,Confirmed,"On the Nomination: Confirmation John A. Koskinen, to be Commissioner of Internal Revenue",[],PN784,https://www.congress.gov/nomination/113th-congress/784,Dec 20
113,1,287 (56-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00287,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of John A. Koskinen, to be Commissioner of Internal Revenue",[],PN784,https://www.congress.gov/nomination/113th-congress/784,Dec 20
113,1,286 (54-41),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00286,Confirmed,"On the Nomination: Confirmation Alejandro Nicholas Mayorkas, to be Deputy Secretary of Homeland Security",[],PN640,https://www.congress.gov/nomination/113th-congress/640,Dec 20
113,1,285 (55-45),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00285,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Alejandro Nicholas Mayorkas, of the District of Columbia, to be Deputy Secretary of Homeland Security",[],PN640,https://www.congress.gov/nomination/113th-congress/640,Dec 19
113,1,284 (84-15),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00284,Agreed to,"On the Motion: Motion to Concur in the House Amendment to Senate Amendment to H.R. 3304; To authorize appropriations for fiscal year 2014 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",[],H.R. 3304,http://hdl.loc.gov/loc.uscongress/legislation.113hr3304,Dec 19
113,1,283 (45-55),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00283,Rejected,"On the Motion to Table: Motion to Table the Motion to Concur in the House Amendment to Senate Amendment with Amendment to H.R. 3304; To authorize appropriations for fiscal year 2014 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",[],H.R. 3304,http://hdl.loc.gov/loc.uscongress/legislation.113hr3304,Dec 19
113,1,282 (71-29),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00282,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 3304; To authorize appropriations for fiscal year 2014 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",[],H.R. 3304,http://hdl.loc.gov/loc.uscongress/legislation.113hr3304,Dec 18
113,1,281 (64-36),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00281,Agreed to,"On the Motion: Motion to Concur in the House Amendment to the Senate Amendment to H.J.Res. 59; A joint resolution making continuing appropriations for fiscal year 2014, and for other purposes.",[],H.J.Res. 59,http://hdl.loc.gov/loc.uscongress/legislation.113hjres59,Dec 18
113,1,280 (46-54),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00280,Rejected,"On the Motion to Table: Motion to Table the Motion to Concur in the House Amendment to the Senate Amendment to H.J.Res. 59; A joint resolution making continuing appropriations for fiscal year 2014, and for other purposes.",[],H.J.Res. 59,http://hdl.loc.gov/loc.uscongress/legislation.113hjres59,Dec 17
113,1,279 (67-33),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00279,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Motion to Concur in the House Amendment to Senate Amendment to H.J.Res. 59; A joint resolution making continuing appropriations for fiscal year 2014, and for other purposes.",[],H.J.Res. 59,http://hdl.loc.gov/loc.uscongress/legislation.113hjres59,Dec 17
113,1,278 (55-37),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00278,Agreed to,On the Motion to Proceed: Motion to Proceed to Executive Session,[],PN784,https://www.congress.gov/nomination/113th-congress/784,Dec 16
113,1,277 (53-38),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00277,Agreed to,On the Motion to Proceed: Motion to Proceed to Executive Session,[],PN640,https://www.congress.gov/nomination/113th-congress/640,Dec 16
113,1,276 (78-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00276,Confirmed,"On the Nomination: Confirmation Jeh Charles Johnson, of New Jersey, to be Secretary of Homeland Security",[],PN925,https://www.congress.gov/nomination/113th-congress/925,Dec 16
113,1,275 (57-37),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00275,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Jeh Charles Johnson, of New Jersey, to be Secretary of Homeland Security",[],PN925,https://www.congress.gov/nomination/113th-congress/925,Dec 16
113,1,274 (78-16),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00274,Confirmed,"On the Nomination: Confirmation Anne W. Patterson, of Virginia, to be an Assistant Secretary of State",[],PN786,https://www.congress.gov/nomination/113th-congress/786,Dec 16
113,1,273 (54-36),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00273,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Anne W. Patterson, of Virginia, to be an Assistant Secretary of State",[],PN786,https://www.congress.gov/nomination/113th-congress/786,Dec 13
113,1,272 (74-17),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00272,Confirmed,On the Nomination: Confirmation Heather Anne Higginbottom to be Deputy Secretary of State for Management and Resources,[],PN808,https://www.congress.gov/nomination/113th-congress/808,Dec 13
113,1,271 (51-34),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00271,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Heather Higginbottom to be Deputy Secretary of State,[],PN808,https://www.congress.gov/nomination/113th-congress/808,Dec 13
113,1,270 (79-6),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00270,Confirmed,"On the Nomination: Confirmation Deborah Lee James, of Virginia, to be Secretary of the Air Force",[],PN774,https://www.congress.gov/nomination/113th-congress/774,Dec 13
113,1,269 (58-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=113&session=1&vote=00269,Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Deborah Lee James, of Virginia, to be Secretary of the Air Force",[],PN774,https://www.congress.gov/nomination/113th-congress/774,Dec 12
