congress_id,session_id,vote,vote_url,result,question_description,reference_array,issue,issue_url,date
111,1,397 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00397,Passed,On Passage of the Bill: H.R. 4314; A bill to permit continued financing of Government operations.,[],H.R. 4314,http://hdl.loc.gov/loc.uscongress/legislation.111hr4314,Dec 24
111,1,396 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00396,Passed,On Passage of the Bill: H.R. 3590 as Amended; An act entitled The Patient Protection and Affordable Care Act.,[],H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 24
111,1,395 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00395,Agreed to,On the Cloture Motion: Motion to Invoke Cloture on H.R. 3590; An act entitled The Patient Protection and Affordable Care Act.,[],H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,394 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00394,Agreed to,On the Amendment S.Amdt. 2786: Reid Substitute Amendment No. 2786 As Amended; In the nature of a substitute.,"[[""S.Amdt. 2786"", ""http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786""]]",H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,393 (53-46),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00393,Agreed to,On the Motion to Table S.Amdt. 2786: Motion to Table DeMint Motion to Suspend Rule XXII of the Standing Rules of the Senate; In the nature of a substitute.,"[[""S.Amdt. 2786"", ""http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786""]]",H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,392 (39-60),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00392,Not Well Taken,On the Point of Order S.Amdt. 2786: Is the Hutchison Constitutional Point of Order Well Taken?; In the nature of a substitute.,"[[""S.Amdt. 2786"", ""http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786""]]",H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,391 (57-42),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00391,Agreed to,On the Motion to Table S.Amdt. 2786: Motion to Table the Appeal of the Ruling of the Chair Re: Rule XLIV of Paragraph 4 Against Amdt. No. 2786; In the nature of a substitute.,"[[""S.Amdt. 2786"", ""http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786""]]",H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,390 (55-44),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00390,Agreed to,On the Motion S.Amdt. 2786: Motion to Waive the CBA Section 425 A(2) re: Reid Amdt. No. 2786; In the nature of a substitute.,"[[""S.Amdt. 2786"", ""http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786""]]",H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,389 (39-60),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00389,Not Well Taken,On the Point of Order S.Amdt. 2786: Is The Ensign Point of Order Well Taken?; In the nature of a substitute.,"[[""S.Amdt. 2786"", ""http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786""]]",H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 23
111,1,388 (60-39),http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=111&session=1&vote=00388,Agreed to,On the Cloture Motion S.Amdt. 2786: Motion to Invoke Cloture on the Reid Substitute Amdt. No. 2786; In the nature of a substitute.,"[[""S.Amdt. 2786"", ""http://hdl.loc.gov/loc.uscongress/legislation.111samdt2786""]]",H.R. 3590,http://hdl.loc.gov/loc.uscongress/legislation.111hr3590,Dec 22
